,weight
ENSG00000102984,0.023673086189560807
ENSG00000024422,0.023663802746029996
ENSG00000023697,0.023593431264127034
ENSG00000253220,0.023576284698528887
ENSG00000230515,0.023487883490574655
ENSG00000236217,0.023407608811994333
ENSG00000146006,0.02338300987686565
ENSG00000205593,0.02332105704277521
ENSG00000188191,0.023284026451191438
ENSG00000087157,0.02325907097275829
ENSG00000185261,0.023243652431129094
ENSG00000005513,0.023218951736978813
ENSG00000157823,0.02314939149342489
ENSG00000169592,0.023120326145602714
ENSG00000188921,0.023100499774578058
ENSG00000256188,0.023065241673429354
ENSG00000165169,0.023064844448958687
ENSG00000259448,0.023047202591400445
ENSG00000230006,0.022972375880900543
ENSG00000068078,0.02295199707050043
ENSG00000267325,0.022857149981210707
ENSG00000111077,0.022848925301655287
ENSG00000136247,0.022839748048544994
ENSG00000125462,0.02282488034183945
ENSG00000124217,0.022719813956266724
ENSG00000242265,0.02271273708188378
ENSG00000196652,0.022678095573447868
ENSG00000125084,0.022657099254614642
ENSG00000252316,0.022640563364461304
ENSG00000118520,0.02261667745034057
ENSG00000172476,0.022582993947345153
ENSG00000103316,0.0224244879150757
ENSG00000132975,0.022407718152955874
ENSG00000142459,0.022355977105872362
ENSG00000141034,0.022354073361617925
ENSG00000257210,0.022317356825005033
ENSG00000272269,0.02230814476555436
ENSG00000168612,0.02230799685202325
ENSG00000168004,0.022249296044703333
ENSG00000109771,0.02221115791594127
ENSG00000110245,0.022142129575241858
ENSG00000198467,0.022137710434782337
ENSG00000236846,0.0221016958983874
ENSG00000124782,0.022051572501063925
ENSG00000197561,0.0220446784239992
ENSG00000134202,0.02198799767096384
ENSG00000179133,0.02194163470051228
ENSG00000112309,0.02185548017641755
ENSG00000224822,0.02182659976091476
ENSG00000180008,0.021725025611208947
ENSG00000113594,0.02169552405892496
ENSG00000106330,0.021690039362233876
ENSG00000236444,0.02168545346119836
ENSG00000285906,0.021672466472089716
ENSG00000231439,0.0216434694674253
ENSG00000247624,0.02163450976892245
ENSG00000282996,0.021599689676844627
ENSG00000250362,0.021561895240569517
ENSG00000269958,0.021560601827038013
ENSG00000060982,0.021549388386542977
ENSG00000091583,0.021527151113102935
ENSG00000172638,0.021482721350941925
ENSG00000141744,0.02146242562508408
ENSG00000174928,0.021441166880260442
ENSG00000206582,0.021383785147941668
ENSG00000158786,0.021341546621007887
ENSG00000250361,0.02128402027945113
ENSG00000011465,0.02124943649759908
ENSG00000164100,0.021240944785814984
ENSG00000167992,0.0211945298807484
ENSG00000284657,0.021155867709195236
ENSG00000287161,0.02114792502810192
ENSG00000267053,0.02114311849331551
ENSG00000225338,0.02110762410576365
ENSG00000213390,0.02110471348236835
ENSG00000011201,0.02108947513595996
ENSG00000265008,0.021050529105317017
ENSG00000033327,0.021025834671877772
ENSG00000185567,0.020987986768737883
ENSG00000163362,0.020955047517354188
ENSG00000204983,0.020919997623554384
ENSG00000104412,0.020881673656289443
ENSG00000259248,0.02086328859819823
ENSG00000166311,0.020848206511817267
ENSG00000131019,0.020840028424781453
ENSG00000287331,0.02083286007848327
ENSG00000188396,0.02079490882194524
ENSG00000168610,0.02076698131225156
ENSG00000118407,0.02076031713296463
ENSG00000239823,0.020756271469823187
ENSG00000105991,0.02073923636230313
ENSG00000231609,0.020699828803843627
ENSG00000225610,0.020697976362810115
ENSG00000240268,0.02069018581650397
ENSG00000168152,0.020689084227557785
ENSG00000115468,0.020628475606878086
ENSG00000229109,0.020608859160921467
ENSG00000242759,0.020606886674593018
ENSG00000220517,0.020603394955618033
ENSG00000222038,0.02058781076205497
ENSG00000188916,0.020573353845073666
ENSG00000287387,0.020566158160093394
ENSG00000188566,0.02055037469776915
ENSG00000069535,0.020536632666320526
ENSG00000142224,0.020480822162673603
ENSG00000227293,0.02046916323051216
ENSG00000141401,0.020467457404168426
ENSG00000233420,0.02043443412189656
ENSG00000149212,0.020427422336388324
ENSG00000188761,0.020425088868143024
ENSG00000102781,0.020424924261941115
ENSG00000159374,0.02040318271765475
ENSG00000162687,0.020327767655206712
ENSG00000072657,0.02031233643025407
ENSG00000234607,0.020299274694817744
ENSG00000148600,0.02026668310971044
ENSG00000267855,0.020255694435860495
ENSG00000248896,0.020236951310862478
ENSG00000175445,0.020207909433598542
ENSG00000196277,0.020192451987272274
ENSG00000122490,0.020189897922357068
ENSG00000264577,0.020154551304808224
ENSG00000264273,0.020153169268346958
ENSG00000175718,0.02012094760243533
ENSG00000260188,0.020084939811177104
ENSG00000169379,0.02006710462822513
ENSG00000197256,0.02004921207622973
ENSG00000164197,0.02003920501162375
ENSG00000160224,0.02000394615659404
ENSG00000111206,0.020003198578813122
ENSG00000114450,0.019994371164750654
ENSG00000286642,0.019949505282059077
ENSG00000267123,0.019935541143694613
ENSG00000141985,0.01991441506515438
ENSG00000130176,0.01988878421055301
ENSG00000237763,0.019887850418206218
ENSG00000286475,0.01988752222025058
ENSG00000198712,0.019879701363608962
ENSG00000145321,0.01987681482940321
ENSG00000119559,0.01985689092671273
ENSG00000101425,0.01984375843562168
ENSG00000102225,0.019837995174718327
ENSG00000082146,0.019837206532185046
ENSG00000150967,0.019833287338258763
ENSG00000145354,0.019818451564007526
ENSG00000169918,0.01977730773620534
ENSG00000174938,0.019759110805299202
ENSG00000119922,0.019693561477896377
ENSG00000137727,0.019634573709889042
ENSG00000189157,0.01963298453619784
ENSG00000232680,0.019628301500919303
ENSG00000225605,0.019612325545642507
ENSG00000111863,0.019558708345497017
ENSG00000251586,0.019543519806566264
ENSG00000108387,0.019518972781957994
ENSG00000254985,0.019460642557159222
ENSG00000198805,0.019455929714950547
ENSG00000225480,0.019440360081352536
ENSG00000254999,0.019437372702762586
ENSG00000283879,0.019414717744575354
ENSG00000131941,0.019403554217085176
ENSG00000236977,0.019391898417247155
ENSG00000143373,0.019376641261250462
ENSG00000113396,0.019359525394041538
ENSG00000259737,0.019333685421982074
ENSG00000238198,0.01932797350330804
ENSG00000163877,0.01931074172564851
ENSG00000260230,0.019298695059382944
ENSG00000087152,0.01924839554589667
ENSG00000139329,0.01923509227472028
ENSG00000198829,0.019221990631850955
ENSG00000144061,0.01919254486905613
ENSG00000280080,0.019170737576160283
ENSG00000272865,0.019167720951393248
ENSG00000248257,0.01916449934782553
ENSG00000224034,0.01915805058710419
ENSG00000286292,0.01913653020449341
ENSG00000254682,0.01912871091048615
ENSG00000203705,0.019125233728552134
ENSG00000269256,0.019119452872626584
ENSG00000155749,0.019103715291446353
ENSG00000135722,0.01910203357091854
ENSG00000228824,0.019097843791691233
ENSG00000230454,0.019082950203840418
ENSG00000223522,0.019075947670791068
ENSG00000186153,0.01906572321953641
ENSG00000276410,0.01906215658565714
ENSG00000257252,0.019049529765830152
ENSG00000259985,0.019049028563249498
ENSG00000168032,0.019044640947932713
ENSG00000287713,0.01901068594996587
ENSG00000173598,0.01900629406633247
ENSG00000161547,0.01899710715685849
ENSG00000203395,0.01899324483092812
ENSG00000280913,0.018964244593352098
ENSG00000225431,0.01894703251665162
ENSG00000227533,0.018937566237335817
ENSG00000178397,0.018924257466838366
ENSG00000236411,0.018914035886051003
ENSG00000124564,0.018873376221401783
ENSG00000174307,0.018862131671316403
ENSG00000175662,0.01884753686142258
ENSG00000129538,0.01879340715041728
ENSG00000203872,0.018789352288507
ENSG00000147118,0.01878313282236323
ENSG00000206120,0.01878236707886067
ENSG00000184908,0.018767693792728656
ENSG00000284512,0.018765376787809464
ENSG00000105649,0.018747524772699045
ENSG00000064999,0.018738836957776155
ENSG00000254510,0.018731917677024604
ENSG00000197312,0.01872519316463099
ENSG00000099804,0.018699481570275643
ENSG00000164821,0.018685213570749582
ENSG00000270571,0.018675372141268003
ENSG00000125144,0.018673739613793646
ENSG00000265962,0.018666099806919453
ENSG00000198369,0.018640484245356945
ENSG00000196950,0.018631299950048454
ENSG00000198938,0.018601692499570936
ENSG00000223593,0.018597671315386883
ENSG00000130429,0.01859221326627637
ENSG00000184185,0.018583210011998124
ENSG00000197763,0.018580801613903363
ENSG00000167110,0.0185777915595126
ENSG00000230732,0.018571376793756398
ENSG00000166987,0.01855952154218801
ENSG00000224204,0.01854969046419523
ENSG00000237422,0.018548158427309853
ENSG00000171302,0.01850260561183355
ENSG00000214872,0.01847642506130904
ENSG00000135697,0.018473891337948148
ENSG00000139865,0.01845425972382424
ENSG00000272316,0.01843711214365321
ENSG00000119632,0.018433227178370884
ENSG00000181097,0.018426953975803496
ENSG00000125878,0.018422430026883856
ENSG00000197934,0.018397355720989876
ENSG00000196550,0.018397182599812874
ENSG00000176472,0.01839590392431192
ENSG00000101236,0.018385667900157263
ENSG00000248529,0.01837587906387699
ENSG00000282527,0.018345093726706847
ENSG00000004838,0.018330341472837314
ENSG00000076043,0.018324765306782797
